Chemical;CASRN;KE;mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_mean;ess_sd;ess_bulk;ess_tail;r_hat;True_value
TPHP;115-86-6;lp_dnt;2.493;1.664;-0.619;5.579;0.023;0.02;5192.0;3378.0;5579.0;3103.0;1.0;1
Fipronil;120068-37-3;lp_dnt;-0.05;1.474;-2.784;2.783;0.019;0.023;6030.0;2057.0;6023.0;3007.0;1.0;0
Flusilazole;85509-19-9;lp_dnt;-0.001;1.466;-2.596;2.951;0.021;0.021;4898.0;2347.0;4888.0;3036.0;1.0;0
Lactofen;77501-63-4;lp_dnt;-0.312;1.571;-3.357;2.555;0.023;0.024;4558.0;2067.0;4550.0;2888.0;1.0;0
Methylchloroisothiazolinone;26172-55-4;lp_dnt;-0.18;1.521;-2.975;2.782;0.021;0.023;5244.0;2159.0;5277.0;3043.0;1.0;0
Spiroxamine;118134-30-8;lp_dnt;-0.034;1.449;-2.987;2.571;0.019;0.022;5837.0;2264.0;5940.0;3541.0;1.0;0
1-2-Propyleneglycol;57-55-6;lp_dnt;-1.353;1.704;-4.706;1.523;0.03;0.025;3246.0;2411.0;3404.0;2750.0;1.0;0
TCEP;115-96-8;lp_dnt;0.033;1.444;-2.532;2.866;0.02;0.024;5148.0;1837.0;5353.0;3076.0;1.0;0
TDCIPP;13674-87-8;lp_dnt;-0.037;1.511;-2.963;2.712;0.021;0.023;5070.0;2092.0;5034.0;3148.0;1.0;0
TBBPA;79-94-7;lp_dnt;-0.557;1.735;-3.792;2.649;0.026;0.023;4592.0;2799.0;4602.0;3394.0;1.0;0
